Designer,Name,Link,Photo,Category,Price,Projects,Hearts,Rating
Ysolda Teague,Angostura,http://www.ravelry.com/patterns/library/angostura,http://farm6.static.flickr.com/5146/5681208198_aa4f6d527c_m.jpg,Sweaters,$7.75 ,203,1514,4.6
Ysolda Teague,Not-so-tiny slippers,http://www.ravelry.com/patterns/library/not-so-tiny-slippers,http://farm8.static.flickr.com/7011/6689829603_96608556e8_m.jpg,Socks,$5.80 ,165,1086,4.5
Ysolda Teague,Emily Capelet,http://www.ravelry.com/patterns/library/emily-capelet,http://farm8.static.flickr.com/7277/7703499336_f783b69a3c_m.jpg,Shawls / Scarves,$5.80 ,160,1202,4.6
Ysolda Teague,Lee,http://www.ravelry.com/patterns/library/lee-3,http://images4-b.ravelrycache.com/uploads/ysolda/52264487/lee_small.jpg,Hats,Free,141,2536,4
Ysolda Teague,Briar Rose Bolero,http://www.ravelry.com/patterns/library/briar-rose-bolero,http://farm2.static.flickr.com/1373/684061761_9f58a04b2b_m.jpg,Sweaters,$7.75 ,136,1931,4.1
Ysolda Teague,Ariel Scarf,http://www.ravelry.com/patterns/library/ariel-scarf,http://farm1.static.flickr.com/132/416527154_764c132b70_m.jpg,Shawls / Scarves,Free,130,1265,4.5
Ysolda Teague,BFF Cowl,http://www.ravelry.com/patterns/library/bff-cowl,http://images4.ravelrycache.com/uploads/tinyowlknits/121027995/bffBEAUTY-1_small_best_fit.jpg,Shawls / Scarves,Free,736,3138,4.2
Ysolda Teague,Last Minute Stockings,http://www.ravelry.com/patterns/library/last-minute-stockings,http://farm4.static.flickr.com/3142/3061639224_4aca606608_m.jpg,Home,$5.80 ,123,583,4.5
Ysolda Teague,Barley Sugar,http://www.ravelry.com/patterns/library/barley-sugar-2,http://farm8.static.flickr.com/7155/6689902273_bf334a9812_m.jpg,Shawls / Scarves,$5.80 ,120,950,4.4
Ysolda Teague,Melia,http://www.ravelry.com/patterns/library/melia,http://farm6.static.flickr.com/5121/5278461342_6eea08ea9b_m.jpg,Sweaters,$7.75 ,113,1958,4.5
Ysolda Teague,Blank Canvas,http://www.ravelry.com/patterns/library/blank-canvas,http://farm9.static.flickr.com/8203/8243841021_bc88bde4b8_m.jpg,Sweaters,$7.75 ,106,3190,4.9
Ysolda Teague,Pear Drop,http://www.ravelry.com/patterns/library/pear-drop,http://farm8.static.flickr.com/7031/6689919049_f42404fbc6_m.jpg,Shawls / Scarves,$5.80 ,99,1169,4.7
Ysolda Teague,Cotton Reel Mittens,http://www.ravelry.com/patterns/library/cotton-reel-mittens,http://farm3.static.flickr.com/2618/4094228806_1fac2be053_m.jpg,Gloves,$5.80 ,98,679,4.1
Ysolda Teague,Nathaniel,http://www.ravelry.com/patterns/library/nathaniel,http://farm9.static.flickr.com/8142/7703498206_d2e2c080e9_m.jpg,Home,$5.80 ,93,302,4.6
Ysolda Teague,Matilda Jane,http://www.ravelry.com/patterns/library/matilda-jane,http://farm1.static.flickr.com/141/337607084_00292c9884_m.jpg,Sweaters,$7.75 ,90,1699,4.4
Ysolda Teague,Skelf,http://www.ravelry.com/patterns/library/skelf,http://farm7.static.flickr.com/6026/6001535717_d14b05ba10_m.jpg,Sweaters,$7.75 ,88,831,4.8
Ysolda Teague,Sherilyn,http://www.ravelry.com/patterns/library/sherilyn,http://farm9.static.flickr.com/8010/7703554782_7848b1f3af_m.jpg,Shawls / Scarves,$5.80 ,86,994,4.6
Ysolda Teague,Farinelli,http://www.ravelry.com/patterns/library/farinelli,http://images4.ravelrycache.com/uploads/needlesonfire/16948460/farinelli_z_500_small_best_fit.jpg,Gloves,$6.00 ,82,1542,4.5
Ysolda Teague,Estella,http://www.ravelry.com/patterns/library/estella,http://farm2.static.flickr.com/1044/1342150242_9fff87fe3d_m.jpg,Hats,$5.80 ,73,382,4.4
Ysolda Teague,Almond Comfit,http://www.ravelry.com/patterns/library/almond-comfit,http://farm8.static.flickr.com/7001/6689899307_f173510544_m.jpg,Hats,$5.80 ,68,334,4.7
Ysolda Teague,Belle,http://www.ravelry.com/patterns/library/belle-2,http://farm3.static.flickr.com/2056/2050200659_18986d7757_m.jpg,Hats,Free,65,1267,4.5
Ysolda Teague,Oxidize,http://www.ravelry.com/patterns/library/oxidize,http://farm7.static.flickr.com/6220/6302904088_397f58b5ff_m.jpg,Hats,$5.80 ,63,599,4.6
Ysolda Teague,#06 Rapunzel Stockings,http://www.ravelry.com/patterns/library/06-rapunzel-stockings,http://farm4.static.flickr.com/3070/3049229584_a8c853e6e7_m.jpg,Socks,$4.00 ,51,1213,4.1
Ysolda Teague,wee mushrooms,http://www.ravelry.com/patterns/library/wee-mushrooms,http://farm3.static.flickr.com/2643/3854904925_569418362e_m.jpg,Softies,$1.55 ,43,507,4.6
Ysolda Teague,Heart & Sole,http://www.ravelry.com/patterns/library/heart--sole,http://farm4.static.flickr.com/3122/4042230175_e4b39af233_m.jpg,Socks,Free,42,23,4.6
Ysolda Teague,Narwhal Mittens,http://www.ravelry.com/patterns/library/narwhal-mittens,http://farm8.static.flickr.com/7154/6689763987_0cc5e8f9bc_m.jpg,Gloves,$5.80 ,42,644,4.3
Ysolda Teague,Hendreary,http://www.ravelry.com/patterns/library/hendreary,http://farm8.static.flickr.com/7002/6689714831_28935fb3d3_m.jpg,Hats,$5.80 ,39,358,4.9
Ysolda Teague,Slip Stitch Beret,http://www.ravelry.com/patterns/library/slip-stitch-beret-3,http://images4.ravelrycache.com/uploads/JimmyBeansWool/104524475/Ysolda_Teague_small_best_fit.jpg,Hats,Free,32,549,4.6
Ysolda Teague,Through the Keyhole,http://www.ravelry.com/patterns/library/through-the-keyhole,http://images4-b.ravelrycache.com/uploads/juliafc/1379155/2726044282_0d36729fa6_o_small_best_fit.jpg,Sweaters,$7.00 ,30,721,4.5
Ysolda Teague,Sherman,http://www.ravelry.com/patterns/library/sherman,http://farm8.static.flickr.com/7162/6689820863_b490338544_m.jpg,Socks,$5.80 ,28,276,4.1
Ysolda Teague,Vintage Buttons Gloves,http://www.ravelry.com/patterns/library/vintage-buttons-gloves,http://farm8.static.flickr.com/7155/6689856405_2a4b21b322_m.jpg,Gloves,$5.80 ,28,858,4.1
Ysolda Teague,Roisin,http://www.ravelry.com/patterns/library/roisin,http://images4.ravelrycache.com/uploads/ysolda/74530776/roisin-1_rav_small.jpg,Shawls / Scarves,$5.80 ,26,521,4.8
Ysolda Teague,Sherbet Lemon,http://www.ravelry.com/patterns/library/sherbet-lemon,http://farm8.static.flickr.com/7003/6689913531_2f72e6eb75_m.jpg,Gloves,$5.80 ,25,408,4.7
Ysolda Teague,Edinburgh Rock,http://www.ravelry.com/patterns/library/edinburgh-rock,http://farm8.static.flickr.com/7002/6689909773_338673c88b_m.jpg,Shawls / Scarves,$5.80 ,24,187,4.9
Ysolda Teague,Apocalypse Tree Hoodie,http://www.ravelry.com/patterns/library/apocalypse-tree-hoodie,http://farm1.static.flickr.com/163/337608202_21d8e30687_m.jpg,Sweaters,$6.00 ,23,509,4.1
Ysolda Teague,Fiddler Mitts,http://www.ravelry.com/patterns/library/fiddler-mitts,http://images4.ravelrycache.com/uploads/LarissaBrown/63306874/mitts_small_best_fit.jpg,Gloves,Free,21,526,4.9
Ysolda Teague,Stripy,http://www.ravelry.com/patterns/library/stripy-2,http://farm3.static.flickr.com/2392/1633035366_e87f7995ab_m.jpg,Sweaters,Free,21,1708,3.8
Ysolda Teague,Trinket,http://www.ravelry.com/patterns/library/trinket-4,http://farm8.static.flickr.com/7030/6689843451_1740264ee2_m.jpg,Softies,$5.80 ,20,339,4.8
Ysolda Teague,Walnut Whip,http://www.ravelry.com/patterns/library/walnut-whip,http://farm8.static.flickr.com/7169/6689919793_6a6b0bc29c_m.jpg,Hats,$5.80 ,15,161,4.6
Ysolda Teague,Ariel,http://www.ravelry.com/patterns/library/ariel,http://farm3.static.flickr.com/2206/2470550593_8167db9e80_m.jpg,Sweaters,Free,10,60,4
Rebecca Danger,Bunny Nuggets,http://www.ravelry.com/patterns/library/bunny-nuggets,http://farm4.static.flickr.com/3250/3407592043_acbbd7a523_m.jpg,Softies,Free,2404,10594,4.6
Rebecca Danger,Monster Chunks,http://www.ravelry.com/patterns/library/monster-chunks,http://farm3.static.flickr.com/2424/3708911016_0fafe0bc83_m.jpg,Softies,Free,1449,5949,4.6
Rebecca Danger,Daphne and Delilah the Momma and Baby Monster,http://www.ravelry.com/patterns/library/daphne-and-delilah-the-momma-and-baby-monster,http://farm3.static.flickr.com/2442/3727938060_48ff8b423f_m.jpg,Softies,$6.00 ,1166,4589,4.7
Rebecca Danger,Chubby Chirps,http://www.ravelry.com/patterns/library/chubby-chirps,http://images4-b.ravelrycache.com/uploads/rebeccadanger/53216689/chirps7_small_best_fit.JPG,Softies,Free,1115,7386,4.7
Rebecca Danger,Jerry the Musical Monkey,http://www.ravelry.com/patterns/library/jerry-the-musical-monkey,http://images4-b.ravelrycache.com/uploads/rebeccadanger/58982904/Jerry2_small.JPG,Softies,$6.00 ,1038,2624,4.7
Rebecca Danger,Penelope the Empathetic Monster,http://www.ravelry.com/patterns/library/penelope-the-empathetic-monster,http://farm4.static.flickr.com/3564/3468973687_4a9d32f20e_m.jpg,Softies,$6.00 ,908,2644,4.6
Rebecca Danger,Maddox The Mischievous Monster,http://www.ravelry.com/patterns/library/maddox-the-mischievous-monster,http://farm4.static.flickr.com/3331/3277510000_a64826e7fb_m.jpg,Softies,$6.00 ,614,1199,4.7
Rebecca Danger,Hugo the Couch Potato Monster,http://www.ravelry.com/patterns/library/hugo-the-couch-potato-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52065974/hugo_small.jpg,Softies,Free,584,447,4.7
Rebecca Danger,Dot the Dress Up Box Monster,http://www.ravelry.com/patterns/library/dot-the-dress-up-box-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52062322/dot_small.jpg,Softies,Free,564,654,4.7
Rebecca Danger,Irving the Icebox Monster,http://www.ravelry.com/patterns/library/irving-the-icebox-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52071285/irving_small.jpg,Softies,Free,448,234,4.6
Rebecca Danger,Iris the Gourmet Monster,http://www.ravelry.com/patterns/library/iris-the-gourmet-monster,http://farm5.static.flickr.com/4037/4368342766_fde352829f_m.jpg,Softies,$6.00 ,442,685,4.8
Rebecca Danger,Baldwin the Bathroom Monster,http://www.ravelry.com/patterns/library/baldwin-the-bathroom-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52058180/baldwin_small.jpg,Softies,Free,425,159,4.7
Rebecca Danger,Harold the Houseplant Monster,http://www.ravelry.com/patterns/library/harold-the-houseplant-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52052147/harold_small.jpg,Softies,Free,377,176,4.7
Rebecca Danger,"Holly, Ivy and Steve Three Christmas Hooligan Ornaments",http://www.ravelry.com/patterns/library/holly-ivy-and-steve-three-christmas-hooligan-ornaments,http://images4.ravelrycache.com/uploads/rebeccadanger/43079880/treedb_small_best_fit.JPG,Home,$6.00 ,375,1452,4.8
Rebecca Danger,Cecil the Computer Monster,http://www.ravelry.com/patterns/library/cecil-the-computer-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52070784/cecil_small.jpg,Softies,Free,374,256,4.7
Rebecca Danger,Louie the Lovebot,http://www.ravelry.com/patterns/library/louie-the-lovebot,http://images4-b.ravelrycache.com/uploads/rebeccadanger/46674678/louie5_small.JPG,Softies,$1.99 ,365,1772,4.6
Rebecca Danger,Coco the Canister Monster,http://www.ravelry.com/patterns/library/coco-the-canister-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52067152/coco_small.jpg,Softies,Free,348,107,4.6
Rebecca Danger,Greta the Captivating Cat,http://www.ravelry.com/patterns/library/greta-the-captivating-cat,http://farm3.static.flickr.com/2517/3841022716_de47925eb0_m.jpg,Softies,$6.00 ,329,934,4.7
Rebecca Danger,Tony the Toy-Box Monster,http://www.ravelry.com/patterns/library/tony-the-toy-box-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52069901/tony_small.jpg,Softies,Free,304,128,4.6
Rebecca Danger,"Leila, Lydia, and Lucas the Momma and Baby Monsters",http://www.ravelry.com/patterns/library/leila-lydia-and-lucas-the-momma-and-baby-monsters,http://images4.ravelrycache.com/uploads/rebeccadanger/52063459/leilalydialucas_small.jpg,Softies,Free,298,168,4.5
Rebecca Danger,Basil the Boogie-Woogie Brontosaurus,http://www.ravelry.com/patterns/library/basil-the-boogie-woogie-brontosaurus,http://images4.ravelrycache.com/uploads/rebeccadanger/101219228/brontys2_small_best_fit.jpg,Softies,$6.00 ,290,3388,4.6
Rebecca Danger,#23 Harriet the Haberdashery Hippo,http://www.ravelry.com/patterns/library/23-harriet-the-haberdashery-hippo,http://images4.ravelrycache.com/uploads/rebeccadanger/71039946/harriet_small.jpg,Softies,$6.00 ,281,756,4.6
Rebecca Danger,Frances The Charismatic Monster,http://www.ravelry.com/patterns/library/frances-the-charismatic-monster,http://farm4.static.flickr.com/3630/3372654529_af22ccc98b_m.jpg,Softies,$6.00 ,258,519,4.8
Rebecca Danger,Lurleen the Laundry Monster,http://www.ravelry.com/patterns/library/lurleen-the-laundry-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52060272/lurleen_small.jpg,Softies,Free,256,68,4.6
Rebecca Danger,Bea the Basement Monster,http://www.ravelry.com/patterns/library/bea-the-basement-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52069408/bea_small.jpg,Softies,Free,241,132,4.7
Rebecca Danger,Geet the Garage Monster,http://www.ravelry.com/patterns/library/geet-the-garage-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52061116/geet_small.jpg,Softies,Free,231,94,4.7
Rebecca Danger,Sammie the Sock Monster,http://www.ravelry.com/patterns/library/sammie-the-sock-monster,http://farm3.static.flickr.com/2425/3941660481_73f5da54c0_m.jpg,Softies,$6.00 ,227,647,4.7
Rebecca Danger,Gort the Gym Bag Monster,http://www.ravelry.com/patterns/library/gort-the-gym-bag-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52067744/gort_small.jpg,Softies,Free,226,164,4.6
Rebecca Danger,Toothy Joe the Mailbox Monster,http://www.ravelry.com/patterns/library/toothy-joe-the-mailbox-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52068537/toothyjoe_small.jpg,Softies,Free,192,132,4.6
Rebecca Danger,Tofu the Gentle Dachshund,http://www.ravelry.com/patterns/library/tofu-the-gentle-dachshund,http://farm4.static.flickr.com/3603/3639657464_a2f9a5aa28_m.jpg,Softies,$6.00 ,190,1110,4.7
Rebecca Danger,Petunia the Patio Monster,http://www.ravelry.com/patterns/library/petunia-the-patio-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52064241/petunia_small.jpg,Softies,Free,186,62,4.8
Rebecca Danger,Charlie the ceiling Monster,http://www.ravelry.com/patterns/library/charlie-the-ceiling-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52061745/charlie_small.jpg,Softies,Free,177,43,4.6
Rebecca Danger,Gabby the Garden Monster,http://www.ravelry.com/patterns/library/gabby-the-garden-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52064696/gabby_small.jpg,Softies,Free,167,45,4.7
Rebecca Danger,Angus the Attic Monster,http://www.ravelry.com/patterns/library/angus-the-attic-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52059034/angus_small.jpg,Softies,Free,162,44,4.7
Rebecca Danger,Olivia the Audacious Monster,http://www.ravelry.com/patterns/library/olivia-the-audacious-monster,http://farm4.static.flickr.com/3351/3431216203_94406c843f_m.jpg,Softies,$6.00 ,162,454,4.7
Rebecca Danger,Kat the Kitchen Monster,http://www.ravelry.com/patterns/library/kat-the-kitchen-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52070310/kat_small.jpg,Softies,Free,156,39,4.8
Rebecca Danger,Albert the Absent-Minded Monster,http://www.ravelry.com/patterns/library/albert-the-absent-minded-monster,http://farm4.static.flickr.com/3576/3326744182_9c8283d705_m.jpg,Softies,$6.00 ,155,345,4.8
Rebecca Danger,Chadwick the Shakespearean Caterpillar,http://www.ravelry.com/patterns/library/chadwick-the-shakespearean-caterpillar,http://images4.ravelrycache.com/uploads/rebeccadanger/91481730/caterpillar1_small_best_fit.jpg,Softies,$1.99 ,140,617,4.8
Rebecca Danger,Presley Cash the Monster,http://www.ravelry.com/patterns/library/presley-cash-the-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/63459486/Presley1_small.JPG,Softies,$6.00 ,140,236,4.7
Rebecca Danger,Wasabi the Gregarious Pug,http://www.ravelry.com/patterns/library/wasabi-the-gregarious-pug,http://farm4.static.flickr.com/3544/3511728910_ccb8da80fa_m.jpg,Softies,$6.00 ,133,805,4.6
Rebecca Danger,Terence the Tap Dancing T-Rex,http://www.ravelry.com/patterns/library/terence-the-tap-dancing-t-rex,http://images4-b.ravelrycache.com/uploads/rebeccadanger/105263697/trexs1_small_best_fit.jpg,Softies,$6.00 ,131,592,4.8
Rebecca Danger,Ursula and Uma the Understanding Monsters,http://www.ravelry.com/patterns/library/ursula-and-uma-the-understanding-monsters,http://images4.ravelrycache.com/uploads/rebeccadanger/45711896/uandu3_small.JPG,Softies,$6.00 ,128,301,4.7
Rebecca Danger,Claude the Closet Monster,http://www.ravelry.com/patterns/library/claude-the-closet-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52071768/claude_small.jpg,Softies,Free,122,62,4.6
Rebecca Danger,Napoleon the Nervous Narwhal,http://www.ravelry.com/patterns/library/napoleon-the-nervous-narwhal,http://farm3.static.flickr.com/2499/4174993226_b37a4c1bb9_m.jpg,Softies,$6.00 ,116,688,4.7
Rebecca Danger,Chester the Bashful Bunny,http://www.ravelry.com/patterns/library/chester-the-bashful-bunny,http://farm4.static.flickr.com/3614/3392405409_f5989f6ed0_m.jpg,Softies,$6.00 ,114,623,4.7
Rebecca Danger,Robbie the Radiant Robot,http://www.ravelry.com/patterns/library/robbie-the-radiant-robot,http://farm4.static.flickr.com/3609/3573867875_16ba63d91b_m.jpg,Softies,$6.00 ,109,817,4.4
Rebecca Danger,Quincy Quade Quentin a Very Memorable Monster,http://www.ravelry.com/patterns/library/quincy-quade-quentin-a-very-memorable-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/29926966/quincys1_small.jpg,Softies,$6.00 ,95,387,4.5
Rebecca Danger,Herman The Enigmatic Bear,http://www.ravelry.com/patterns/library/herman-the-enigmatic-bear,http://farm4.static.flickr.com/3388/3248347356_40690036ff_m.jpg,Softies,$6.00 ,88,387,4.7
Rebecca Danger,#25 Corbin the Creative Monster,http://www.ravelry.com/patterns/library/25-corbin-the-creative-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/71039569/corbin_small.jpg,Softies,Free,84,117,4.3
Rebecca Danger,Sherman the Square Dancing Stegosaurus,http://www.ravelry.com/patterns/library/sherman-the-square-dancing-stegosaurus,http://images4-b.ravelrycache.com/uploads/rebeccadanger/108591258/steggies1_small_best_fit.jpg,Softies,$6.00 ,84,507,4.7
Rebecca Danger,Zeke the Aloof Alpaca,http://www.ravelry.com/patterns/library/zeke-the-aloof-alpaca,http://images4-b.ravelrycache.com/uploads/rebeccadanger/26698474/zekes5_small.jpg,Softies,$6.00 ,77,780,4.7
